ano,idade,motivo_situacao,sexo,qte_acidentes,situacao
1997-01-01,19 Anos ou menos,Típico-Com Cat,Masculino,7581.0,Com Cat Registrada
1997-01-01,19 Anos ou menos,Típico-Com Cat,Feminino,1061.0,Com Cat Registrada
1997-01-01,19 Anos ou menos,Típico-Com Cat,Ignorado,18851.0,Com Cat Registrada
1997-01-01,20 a 24 Anos,Típico-Com Cat,Masculino,15847.0,Com Cat Registrada
1997-01-01,20 a 24 Anos,Típico-Com Cat,Feminino,1934.0,Com Cat Registrada
1997-01-01,20 a 24 Anos,Típico-Com Cat,Ignorado,46188.0,Com Cat Registrada
1997-01-01,25 a 29 Anos,Típico-Com Cat,Masculino,15443.0,Com Cat Registrada
1997-01-01,25 a 29 Anos,Típico-Com Cat,Feminino,2158.0,Com Cat Registrada
1997-01-01,25 a 29 Anos,Típico-Com Cat,Ignorado,40910.0,Com Cat Registrada
1997-01-01,30 a 34 Anos,Típico-Com Cat,Masculino,14670.0,Com Cat Registrada
1997-01-01,30 a 34 Anos,Típico-Com Cat,Feminino,2247.0,Com Cat Registrada
1997-01-01,30 a 34 Anos,Típico-Com Cat,Ignorado,35319.0,Com Cat Registrada
1997-01-01,35 a 39 Anos,Típico-Com Cat,Masculino,13028.0,Com Cat Registrada
1997-01-01,35 a 39 Anos,Típico-Com Cat,Feminino,2373.0,Com Cat Registrada
1997-01-01,35 a 39 Anos,Típico-Com Cat,Ignorado,28406.0,Com Cat Registrada
1997-01-01,40 a 44 Anos,Típico-Com Cat,Masculino,11108.0,Com Cat Registrada
1997-01-01,40 a 44 Anos,Típico-Com Cat,Feminino,2065.0,Com Cat Registrada
1997-01-01,40 a 44 Anos,Típico-Com Cat,Ignorado,22022.0,Com Cat Registrada
1997-01-01,45 a 49 Anos,Típico-Com Cat,Masculino,7762.0,Com Cat Registrada
1997-01-01,45 a 49 Anos,Típico-Com Cat,Feminino,1552.0,Com Cat Registrada
1997-01-01,45 a 49 Anos,Típico-Com Cat,Ignorado,14448.0,Com Cat Registrada
1997-01-01,50 a 54 Anos,Típico-Com Cat,Masculino,4831.0,Com Cat Registrada
