ano,parte_atingida,motivo_situacao,qte_acidentes,situacao
2002-01-01,Crânio (Inclusive Encéfalo),Típico-Com Cat,735,Com Cat Registrada
2002-01-01,Crânio (Inclusive Encéfalo),Trajeto-Com Cat,358,Com Cat Registrada
2002-01-01,Crânio (Inclusive Encéfalo),Doença do Trabalho-Com Cat,7,Com Cat Registrada
2002-01-01,"Ouvido (Externo, Médio, Interno, Audição e Eq",Típico-Com Cat,1947,Com Cat Registrada
2002-01-01,"Ouvido (Externo, Médio, Interno, Audição e Eq",Trajeto-Com Cat,36,Com Cat Registrada
2002-01-01,"Ouvido (Externo, Médio, Interno, Audição e Eq",Doença do Trabalho-Com Cat,3883,Com Cat Registrada
2002-01-01,Olho (Inclusive Nervo Ótico e Visão),Típico-Com Cat,13139,Com Cat Registrada
2002-01-01,Olho (Inclusive Nervo Ótico e Visão),Trajeto-Com Cat,299,Com Cat Registrada
2002-01-01,Olho (Inclusive Nervo Ótico e Visão),Doença do Trabalho-Com Cat,52,Com Cat Registrada
2002-01-01,"Nariz (Inclusive Fossas Nasais, Seios da Face",Típico-Com Cat,1044,Com Cat Registrada
2002-01-01,"Nariz (Inclusive Fossas Nasais, Seios da Face",Trajeto-Com Cat,155,Com Cat Registrada
2002-01-01,"Nariz (Inclusive Fossas Nasais, Seios da Face",Doença do Trabalho-Com Cat,33,Com Cat Registrada
2002-01-01,"Boca (Inclusive Lábios, Dentes, Língua, Garga",Típico-Com Cat,1128,Com Cat Registrada
2002-01-01,"Boca (Inclusive Lábios, Dentes, Língua, Garga",Trajeto-Com Cat,179,Com Cat Registrada
2002-01-01,"Boca (Inclusive Lábios, Dentes, Língua, Garga",Doença do Trabalho-Com Cat,91,Com Cat Registrada
2002-01-01,Mandíbula (Inclusive Queixo),Típico-Com Cat,401,Com Cat Registrada
2002-01-01,Mandíbula (Inclusive Queixo),Trajeto-Com Cat,119,Com Cat Registrada
2002-01-01,Mandíbula (Inclusive Queixo),Doença do Trabalho-Com Cat,3,Com Cat Registrada
2002-01-01,"Face, Partes Múltiplas",Típico-Com Cat,4505,Com Cat Registrada
2002-01-01,"Face, Partes Múltiplas",Trajeto-Com Cat,927,Com Cat Registrada
2002-01-01,"Face, Partes Múltiplas",Doença do Trabalho-Com Cat,54,Com Cat Registrada
2002-01-01,"Cabeça, Partes Múltiplas",Típico-Com Cat,3602,Com Cat Registrada
2002-01-01,"Cabeça, Partes Múltiplas",Trajeto-Com Cat,1524,Com Cat Registrada
2002-01-01,"Cabeça, Partes Múltiplas",Doença do Trabalho-Com Cat,60,Com Cat Registrada
2002-01-01,"Cabeça, não Informado",Típico-Com Cat,8214,Com Cat Registrada
2002-01-01,"Cabeça, não Informado",Trajeto-Com Cat,1676,Com Cat Registrada
2002-01-01,"Cabeça, não Informado",Doença do Trabalho-Com Cat,111,Com Cat Registrada
2002-01-01,Braço (Entre o Punho e o Ombro),Típico-Com Cat,13269,Com Cat Registrada
2002-01-01,Braço (Entre o Punho e o Ombro),Trajeto-Com Cat,2736,Com Cat Registrada
2002-01-01,Braço (Entre o Punho e o Ombro),Doença do Trabalho-Com Cat,2592,Com Cat Registrada
2002-01-01,Braço (Acima do Cotovelo),Típico-Com Cat,5321,Com Cat Registrada
2002-01-01,Braço (Acima do Cotovelo),Trajeto-Com Cat,1107,Com Cat Registrada
2002-01-01,Braço (Acima do Cotovelo),Doença do Trabalho-Com Cat,509,Com Cat Registrada
2002-01-01,Pescoço,Típico-Com Cat,1261,Com Cat Registrada
2002-01-01,Pescoço,Trajeto-Com Cat,293,Com Cat Registrada
2002-01-01,Pescoço,Doença do Trabalho-Com Cat,61,Com Cat Registrada
2002-01-01,Cotovelo,Típico-Com Cat,2400,Com Cat Registrada
2002-01-01,Cotovelo,Trajeto-Com Cat,553,Com Cat Registrada
2002-01-01,Cotovelo,Doença do Trabalho-Com Cat,416,Com Cat Registrada
2002-01-01,Antebraço (Entre o Punho e o Cotovelo),Típico-Com Cat,11836,Com Cat Registrada
2002-01-01,Antebraço (Entre o Punho e o Cotovelo),Trajeto-Com Cat,1912,Com Cat Registrada
2002-01-01,Antebraço (Entre o Punho e o Cotovelo),Doença do Trabalho-Com Cat,1496,Com Cat Registrada
2002-01-01,Punho,Típico-Com Cat,6483,Com Cat Registrada
2002-01-01,Punho,Trajeto-Com Cat,862,Com Cat Registrada
2002-01-01,Punho,Doença do Trabalho-Com Cat,1980,Com Cat Registrada
2002-01-01,Mão (Exceto Punho ou Dedos),Típico-Com Cat,35753,Com Cat Registrada
2002-01-01,Mão (Exceto Punho ou Dedos),Trajeto-Com Cat,1940,Com Cat Registrada
2002-01-01,Mão (Exceto Punho ou Dedos),Doença do Trabalho-Com Cat,893,Com Cat Registrada
2002-01-01,Dedo,Típico-Com Cat,86185,Com Cat Registrada
2002-01-01,Dedo,Trajeto-Com Cat,1977,Com Cat Registrada
2002-01-01,Dedo,Doença do Trabalho-Com Cat,299,Com Cat Registrada
2002-01-01,"Membros Superiores, Partes Múltiplas",Típico-Com Cat,2852,Com Cat Registrada
2002-01-01,"Membros Superiores, Partes Múltiplas",Trajeto-Com Cat,751,Com Cat Registrada
2002-01-01,"Membros Superiores, Partes Múltiplas",Doença do Trabalho-Com Cat,1340,Com Cat Registrada
2002-01-01,"Membros Superiores, não Informado",Típico-Com Cat,3125,Com Cat Registrada
2002-01-01,"Membros Superiores, não Informado",Trajeto-Com Cat,495,Com Cat Registrada
2002-01-01,"Membros Superiores, não Informado",Doença do Trabalho-Com Cat,2013,Com Cat Registrada
2002-01-01,Ombro,Típico-Com Cat,7059,Com Cat Registrada
2002-01-01,Ombro,Trajeto-Com Cat,2029,Com Cat Registrada
2002-01-01,Ombro,Doença do Trabalho-Com Cat,2537,Com Cat Registrada
2002-01-01,Tórax (Inclusive Órgãos Internos),Típico-Com Cat,3296,Com Cat Registrada
2002-01-01,Tórax (Inclusive Órgãos Internos),Trajeto-Com Cat,742,Com Cat Registrada
2002-01-01,Tórax (Inclusive Órgãos Internos),Doença do Trabalho-Com Cat,77,Com Cat Registrada
2002-01-01,"Dorso (Incl. Músculos Dorsais, Coluna e Medula)",Típico-Com Cat,17521,Com Cat Registrada
2002-01-01,"Dorso (Incl. Músculos Dorsais, Coluna e Medula)",Trajeto-Com Cat,1555,Com Cat Registrada
2002-01-01,"Dorso (Incl. Músculos Dorsais, Coluna e Medula)",Doença do Trabalho-Com Cat,1743,Com Cat Registrada
2002-01-01,Abdome (Inclusive Órgãos Internos),Típico-Com Cat,2212,Com Cat Registrada
2002-01-01,Abdome (Inclusive Órgãos Internos),Trajeto-Com Cat,540,Com Cat Registrada
2002-01-01,Abdome (Inclusive Órgãos Internos),Doença do Trabalho-Com Cat,148,Com Cat Registrada
2002-01-01,"Quadris (Inclusive Pélvis, Órgãos Pélvicos e",Típico-Com Cat,1522,Com Cat Registrada
2002-01-01,"Quadris (Inclusive Pélvis, Órgãos Pélvicos e",Trajeto-Com Cat,327,Com Cat Registrada
2002-01-01,"Quadris (Inclusive Pélvis, Órgãos Pélvicos e",Doença do Trabalho-Com Cat,37,Com Cat Registrada
2002-01-01,"Tronco, Parte Múltiplas",Típico-Com Cat,1760,Com Cat Registrada
2002-01-01,"Tronco, Parte Múltiplas",Trajeto-Com Cat,518,Com Cat Registrada
2002-01-01,"Tronco, Parte Múltiplas",Doença do Trabalho-Com Cat,78,Com Cat Registrada
2002-01-01,"Tronco, não Informado",Típico-Com Cat,1124,Com Cat Registrada
2002-01-01,"Tronco, não Informado",Trajeto-Com Cat,224,Com Cat Registrada
2002-01-01,"Tronco, não Informado",Doença do Trabalho-Com Cat,38,Com Cat Registrada
2002-01-01,Perna (Entre O Tornozelo e a Pélvis),Típico-Com Cat,7872,Com Cat Registrada
2002-01-01,Perna (Entre O Tornozelo e a Pélvis),Trajeto-Com Cat,2323,Com Cat Registrada
2002-01-01,Perna (Entre O Tornozelo e a Pélvis),Doença do Trabalho-Com Cat,61,Com Cat Registrada
2002-01-01,Coxa,Típico-Com Cat,1777,Com Cat Registrada
2002-01-01,Coxa,Trajeto-Com Cat,290,Com Cat Registrada
2002-01-01,Coxa,Doença do Trabalho-Com Cat,10,Com Cat Registrada
2002-01-01,Joelho,Típico-Com Cat,14396,Com Cat Registrada
2002-01-01,Joelho,Trajeto-Com Cat,3681,Com Cat Registrada
2002-01-01,Joelho,Doença do Trabalho-Com Cat,162,Com Cat Registrada
2002-01-01,Perna (Entre o Tornozelo e o Joelho),Típico-Com Cat,14729,Com Cat Registrada
2002-01-01,Perna (Entre o Tornozelo e o Joelho),Trajeto-Com Cat,4486,Com Cat Registrada
2002-01-01,Perna (Entre o Tornozelo e o Joelho),Doença do Trabalho-Com Cat,82,Com Cat Registrada
2002-01-01,Articulação do Tornozelo,Típico-Com Cat,5906,Com Cat Registrada
2002-01-01,Articulação do Tornozelo,Trajeto-Com Cat,2019,Com Cat Registrada
2002-01-01,Articulação do Tornozelo,Doença do Trabalho-Com Cat,43,Com Cat Registrada
2002-01-01,Pé (Exceto Artelhos),Típico-Com Cat,27458,Com Cat Registrada
2002-01-01,Pé (Exceto Artelhos),Trajeto-Com Cat,5030,Com Cat Registrada
2002-01-01,Pé (Exceto Artelhos),Doença do Trabalho-Com Cat,107,Com Cat Registrada
2002-01-01,Artelho,Típico-Com Cat,887,Com Cat Registrada
2002-01-01,Artelho,Trajeto-Com Cat,76,Com Cat Registrada
2002-01-01,Artelho,Doença do Trabalho-Com Cat,8,Com Cat Registrada
2002-01-01,"Membros Inferiores, Partes Múltiplas",Típico-Com Cat,2105,Com Cat Registrada
2002-01-01,"Membros Inferiores, Partes Múltiplas",Trajeto-Com Cat,820,Com Cat Registrada
2002-01-01,"Membros Inferiores, Partes Múltiplas",Doença do Trabalho-Com Cat,81,Com Cat Registrada
2002-01-01,"Membros Inferiores, não Informado",Típico-Com Cat,1927,Com Cat Registrada
2002-01-01,"Membros Inferiores, não Informado",Trajeto-Com Cat,652,Com Cat Registrada
2002-01-01,"Membros Inferiores, não Informado",Doença do Trabalho-Com Cat,65,Com Cat Registrada
2002-01-01,Partes Múltiplas,Típico-Com Cat,4261,Com Cat Registrada
2002-01-01,Partes Múltiplas,Trajeto-Com Cat,2841,Com Cat Registrada
2002-01-01,Partes Múltiplas,Doença do Trabalho-Com Cat,276,Com Cat Registrada
2002-01-01,Sistemas e Aparelhos,Típico-Com Cat,214,Com Cat Registrada
2002-01-01,Sistemas e Aparelhos,Trajeto-Com Cat,66,Com Cat Registrada
2002-01-01,Sistemas e Aparelhos,Doença do Trabalho-Com Cat,75,Com Cat Registrada
2002-01-01,Aparelho Circulatório,Típico-Com Cat,71,Com Cat Registrada
2002-01-01,Aparelho Circulatório,Trajeto-Com Cat,8,Com Cat Registrada
2002-01-01,Aparelho Circulatório,Doença do Trabalho-Com Cat,100,Com Cat Registrada
2002-01-01,Aparelho Respiratório,Típico-Com Cat,541,Com Cat Registrada
2002-01-01,Aparelho Respiratório,Trajeto-Com Cat,20,Com Cat Registrada
2002-01-01,Aparelho Respiratório,Doença do Trabalho-Com Cat,210,Com Cat Registrada
2002-01-01,Sistema Nervoso,Típico-Com Cat,696,Com Cat Registrada
2002-01-01,Sistema Nervoso,Trajeto-Com Cat,36,Com Cat Registrada
2002-01-01,Sistema Nervoso,Doença do Trabalho-Com Cat,185,Com Cat Registrada
2002-01-01,Aparelho Digestivo,Típico-Com Cat,136,Com Cat Registrada
2002-01-01,Aparelho Digestivo,Trajeto-Com Cat,15,Com Cat Registrada
2002-01-01,Aparelho Digestivo,Doença do Trabalho-Com Cat,23,Com Cat Registrada
2002-01-01,Aparelho Gênito-Urinário,Típico-Com Cat,243,Com Cat Registrada
2002-01-01,Aparelho Gênito-Urinário,Trajeto-Com Cat,65,Com Cat Registrada
2002-01-01,Aparelho Gênito-Urinário,Doença do Trabalho-Com Cat,19,Com Cat Registrada
2002-01-01,Sistema Músculo-Esquelético,Típico-Com Cat,307,Com Cat Registrada
2002-01-01,Sistema Músculo-Esquelético,Trajeto-Com Cat,58,Com Cat Registrada
2002-01-01,Sistema Músculo-Esquelético,Doença do Trabalho-Com Cat,45,Com Cat Registrada
2002-01-01,"Sistemas e Aparelhos, não Informado",Típico-Com Cat,164,Com Cat Registrada
2002-01-01,"Sistemas e Aparelhos, não Informado",Trajeto-Com Cat,19,Com Cat Registrada
2002-01-01,"Sistemas e Aparelhos, não Informado",Doença do Trabalho-Com Cat,75,Com Cat Registrada
2002-01-01,Parte do Corpo não Informada,Típico-Com Cat,2495,Com Cat Registrada
2002-01-01,Parte do Corpo não Informada,Trajeto-Com Cat,542,Com Cat Registrada
2002-01-01,Parte do Corpo não Informada,Doença do Trabalho-Com Cat,133,Com Cat Registrada
2003-01-01,Crânio (Inclusive Encéfalo),Típico-Com Cat,804,Com Cat Registrada
2003-01-01,Crânio (Inclusive Encéfalo),Trajeto-Com Cat,376,Com Cat Registrada
2003-01-01,Crânio (Inclusive Encéfalo),Doença do Trabalho-Com Cat,10,Com Cat Registrada
2003-01-01,"Ouvido (Externo, Médio, Interno, Audição e Eq",Típico-Com Cat,1675,Com Cat Registrada
2003-01-01,"Ouvido (Externo, Médio, Interno, Audição e Eq",Trajeto-Com Cat,37,Com Cat Registrada
